Restaurant_ID,Restaurant_Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
21,Aggarwal Kachori Wale,1,Noida,"Shop 26, X Block, Near Metro Hospital, Sector 12, Noida",Sector 12,"Sector 12, Noida",77.3379637,28.597161,North Indian,100,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,9
22,Aggarwal Sweet Shop,1,Noida,"8, Royal Paradise Shopping Complex, Y 349C, Near Sabzi Mandi, Sector 12, Noida",Sector 12,"Sector 12, Noida",77.3441785,28.5970594,"Mithai, Street Food",150,Indian Rupees(Rs.),No,Yes,No,No,1,2.3,Red,Poor,15
23,Aggarwal Sweets India,1,Noida,"Upper Ground 17, Singhal Tower, Near, Sector 58, Noida",Sector 58,"Sector 58, Noida",77.35318667,28.61007,"Mithai, Street Food",150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
24,Ahaar Udyan,1,Noida,"C-135, Sector 2, Noida",Sector 2,"Sector 2, Noida",77.3134615,28.5833336,"North Indian, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
25,Ahmed's,1,Noida,"Main Market, Near ICICI Bank, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.38754611,28.5337414,Mughlai,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
26,Aim Cafe And Restaurant,1,Noida,"Shop FF 5, 2nd Floor, NRI City Centre, Near Pari Chowk, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.5111213,28.4632797,"Japanese, Sushi",1200,Indian Rupees(Rs.),Yes,No,No,No,3,3.3,Orange,Average,19
27,Airborne,1,Noida,"Hotel Golf View, 14/1, Opposite Botanical Garden Metro Station, Sector 37, Noida","Hotel Golf View, Sector 37, Noida","Hotel Golf View, Sector 37, Noida, Noida",77.3387521,28.5637524,"North Indian, Chinese, Continental, Mughlai",2000,Indian Rupees(Rs.),Yes,No,No,No,4,0,White,Not rated,0
28,Al Bake,1,Noida,"Shop 5, Godavari Complex, Sector 37, Noida",Sector 37,"Sector 37, Noida",77.3403587,28.5654172,"Fast Food, Chinese",450,Indian Rupees(Rs.),No,Yes,No,No,1,3.7,Yellow,Good,72
29,Al-Aayat Mughlai Biryani,1,Noida,"NH-24, Lok Priya Vihar, Khoda Colony, Sector 62-A, Near, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.35400308,28.61044692,Biryani,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
30,Alam Muradabadi & Hyderabadi Biryani,1,Noida,"Near Wine Shop, Main Road, Sector 22, Noida",Sector 22,"Sector 22, Noida",77.3431349,28.5954289,"Mughlai, Biryani",500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
31,Ali Baba Caves,1,Noida,"1st Floor, Ansal Plaza Mall, Pari Chowk, Greater Noida, Noida","Ansal Plaza Mall, Greater Noida","Ansal Plaza Mall, Greater Noida, Noida",77.5281286,28.4581066,"Cafe, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,15
32,Alley's Urbane Cafe,1,Noida,"Main Road, Opposite Pathways Noida, Near PNB, Sector 104, Near Sector 110, Noida",Sector 110,"Sector 110, Noida",77.36543566,28.5391348,"Cafe, Italian, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,33
33,Al-Swad,1,Noida,"GH-18, Tradex Tower-2, Alpha 1 Commercial Belt, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.5142421,28.4725268,"North Indian, Chinese",400,Indian Rupees(Rs.),No,Yes,No,No,1,2.5,Orange,Average,6
34,Amazing Burgers,1,Noida,"Shop 29 & 30, Ground Floor, Shopping Planet, Plot 232A/1, Block C, Sector 48, Noida",Sector 48,"Sector 48, Noida",77.3728518,28.5555893,"Burger, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
35,Americana Kitchen and Bar,1,Noida,"Ist Floor, 1-6, Centre Stage Mall, Sector 18, Noida","Centre Stage Mall, Sector 18","Centre Stage Mall, Sector 18, Noida",77.3228281,28.56834294,"American, Tex-Mex, Italian, Mexican, North Indian",2000,Indian Rupees(Rs.),Yes,No,No,No,4,2.4,Red,Poor,221
36,Ammi's Kitchen,1,Noida,"Sector 44, Noida",Sector 44,"Sector 44, Noida",77.3305135,28.5584685,Mughlai,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
37,Amrit's Agni Multi Cuisine Restaurant,1,Noida,"M-7, 1st Floor, Opposite Samvedana Hospital, Sector 48, Noida",Sector 48,"Sector 48, Noida",77.3676875,28.5574096,"North Indian, Chinese",550,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,4
38,Anand Food Factory,1,Noida,"C-68, Sector-2, Noida",Sector 2,"Sector 2, Noida",77.3143909,28.5837833,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4
39,Anands,1,Noida,"G-15, Krishna Apra Plaza, Commercial Belt, Near State Bank of India, Alpha 1, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.5103894,28.4704639,"Chinese, North Indian",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.6,Orange,Average,36
40,Anchor Bar & Kitchen,1,Noida,"C-26/27, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.32504863,28.57064084,"North Indian, Chinese",1300,Indian Rupees(Rs.),Yes,No,No,No,3,2.5,Orange,Average,106
41,Andaaz E Paranthas,1,Noida,"306, 2nd Floor, Food Court, Spice World Mall, Sector 25, Noida","Spice World Mall, Sector 25","Spice World Mall, Sector 25, Noida",77.3404494,28.5854737,"North Indian, Mughlai",550,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,36
42,Angeethi Se,1,Noida,"Shop 105, Food Court, Supertech Shopprix Mall, Sector 61, Noida","Supertech Shopprix Mall, Sector 61","Supertech Shopprix Mall, Sector 61, Noida",77.3648332,28.5971027,"North Indian, Chinese",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,35
43,Angels in my Kitchen,1,Noida,"C-19, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.32430164,28.57046888,"Bakery, Desserts, Fast Food",350,Indian Rupees(Rs.),No,Yes,No,No,1,3.9,Yellow,Good,205
44,Annapurna Caterings,1,Noida,"BH 46, Block B, Sector 70, Near Sector 71, Noida",Sector 71,"Sector 71, Noida",0,0,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
45,Antaryami Paratha Corner,1,Noida,"A-15, Sector 4, Noida",Sector 4,"Sector 4, Noida",77.3219012,28.5810716,North Indian,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
46,Appu Ghar Express,1,Noida,"Building 105, Plot A-2, GIP Campus, Sector 38-A, Sector 38, Noida",Sector 38,"Sector 38, Noida",77.323737,28.5641453,"Fast Food, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,63
47,Aroma,1,Noida,"Shop 2, Paras Tierea, Sector 137, Near Sector 132, Noida",Sector 132,"Sector 132, Noida",77.4133126,28.5074459,"South Indian, North Indian, Street Food",300,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,4
48,Asian Fun,1,Noida,"Shop 14, Godavari Shopping Complex, Sector 37, Noida",Sector 37,"Sector 37, Noida",77.340025,28.565491,Chinese,700,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,113
49,Aureo Dine & Bake House,1,Noida,"Shop 9, Block A-3, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.38755785,28.53404095,"North Indian, Chinese, Continental",1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.5,Yellow,Good,367
50,Aureo Dine & Bake House,1,Noida,"Ground Floor, Amenity Block, Unitech Infospace, Sector 135, Near Sector 132, Noida",Sector 132,"Sector 132, Noida",77.404642,28.4995416,"Bakery, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
51,Ayush Chicken Point,1,Noida,"Main Road, Opposite Antriksh Apartment, Sector 51, Noida",Sector 51,"Sector 51, Noida",77.3681633,28.5834992,"North Indian, Mughlai, Chinese",450,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
52,B Bawarchi Restaurant,1,Noida,"Shop 2-3, Opposite Jaypee Cosmos, Near Adobe, Sector 134, Near Sector 132, Noida",Sector 132,"Sector 132, Noida",77.3799935,28.5177319,"North Indian, Mughlai, Chinese",600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,2
53,B Tamang Chineese,1,Noida,"Shop 4/7, E Block Market, Sector 56, Noida",Sector 56,"Sector 56, Noida",77.3428293,28.6033018,Chinese,300,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4
54,Baba Chinese Fast Food,1,Noida,"B-Block, Opposite Fatherangle School, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.35509105,28.61997007,Chinese,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
55,Baby Dragon Bar & Restaurant,1,Noida,"G-34, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.323714,28.569561,"North Indian, Continental, Thai, Chinese",1350,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.5,Yellow,Good,326
56,Baby Got Bacon,1,Noida,"Sector 51, Noida",Sector 51,"Sector 51, Noida",0,0,"American, Italian",500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
57,Backstreet Kitchen,1,Noida,"12-A, Near Community Centre, Sector 104, Near, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.36520298,28.53920932,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,33
58,Bake Walkers,1,Noida,"Mamura, Sector 53, Noida",Sector 53,"Sector 53, Noida",77.3607512,28.5906666,"Bakery, Desserts",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
59,Bake Walkers,1,Noida,"BH-39, Sector 72, Noida",Sector 72,"Sector 72, Noida",77.3805766,28.5914573,"Bakery, Desserts",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
60,BakeAffair,1,Noida,"A-60, Sector 61, Noida",Sector 61,"Sector 61, Noida",0,0,"Bakery, Desserts",300,Indian Rupees(Rs.),No,No,No,No,1,3.4,Orange,Average,30
61,Baked! Cakes & Desserts,1,Noida,"Amrapali Sapphire, Sector 45, Noida",Sector 45,"Sector 45, Noida",0,0,"Bakery, Desserts",350,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,11
62,Baker Street,1,Noida,"5, Ground Floor, Ansal Fortune Arcade, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.32213676,28.57302026,"Bakery, Beverages, Fast Food",300,Indian Rupees(Rs.),No,Yes,No,No,1,3.6,Yellow,Good,40
63,Baker's Studio - Jaypee Greens,1,Noida,"Jaypee Greens Golf & Spa Resort, G Block, Surajpur, Noida","Jaypee Greens Golf & Spa Resort, Surajpur","Jaypee Greens Golf & Spa Resort, Surajpur, Noida",77.5180946,28.4696531,Bakery,1000,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,29
64,Baker's Zone,1,Noida,"MSX Mall, Site 4, Greater Noida, Noida","MSX Mall, Greater Noida","MSX Mall, Greater Noida, Noida",77.5278832,28.4580751,Bakery,200,Indian Rupees(Rs.),No,Yes,No,No,1,2.9,Orange,Average,9
65,Bakes & Cakes,1,Noida,"Royal Paradise Hotel, Shop 3 & 4, Y 349C, Near Sabzi Mandi, Sector 12, Noida",Sector 12,"Sector 12, Noida",77.3440643,28.5968936,Bakery,250,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,5
66,Bala Ji Raja Dhaba,1,Noida,"Opposite Sector 12 Sabji Mandi, Sector 22, Noida",Sector 22,"Sector 22, Noida",77.3446346,28.5973259,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
67,Balaji Restaurant & Sweets,1,Noida,"Shop B-6/7, Som Bazaar, Sadarpur, Near Shiv Mandir, Sector 45, Noida",Sector 45,"Sector 45, Noida",0,0,South Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
68,Balti,1,Noida,"Shop 303, 2nd Floor, Food Court, Spice Mall, Sector 25 A, Noida","Spice World Mall, Sector 25","Spice World Mall, Sector 25, Noida",0,0,North Indian,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
69,Bamboo Shoots,1,Noida,"F-2/3, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.32396636,28.57153949,"Chinese, Seafood, Asian",1600,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.9,Yellow,Good,515
70,Bangali Restaurant,1,Noida,"Shop 4, Opposite Value Bazaar, Sector 44, Noida",Sector 44,"Sector 44, Noida",77.3374228,28.5541271,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
71,Bansiwala Restaurant,1,Noida,"G 11, Harsha Mall, Alpha 1, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.5127189,28.4719367,North Indian,200,Indian Rupees(Rs.),No,Yes,No,No,1,2.5,Orange,Average,4
72,Barbeque Nation,1,Noida,"A-79-A, Ground Floor, Hotel Savoy Suites, Sector 16, Noida",Sector 16,"Sector 16, Noida",77.3153216,28.5801189,"North Indian, Chinese, Mediterranean",1600,Indian Rupees(Rs.),No,No,No,No,3,4.3,Green,Very Good,1670
73,Barista,1,Noida,"B-204, Level 1, DLF Mall of India, Sector 18, Noida","DLF Mall of India, Sector 18,  Noida","DLF Mall of India, Sector 18,  Noida, Noida",77.32,28.57,Cafe,650,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good,23
74,Barista,1,Noida,"A 5, Ground Floor, Atrium, Sector 16, Noida",Sector 16,"Sector 16, Noida",77.3156097,28.5793172,Cafe,650,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,22
75,Barista,1,Noida,"Botanical Garden Metro Station, Ground Floor, Sector 38, Noida",Sector 38,"Sector 38, Noida",77.334633,28.5640131,Cafe,650,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,26
76,Barista,1,Noida,"EXL Tower, 5, A-94/4, 5, Sector 58, Noida",Sector 58,"Sector 58, Noida",77.3576192,28.6045901,Cafe,650,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,7
77,Barista,1,Noida,"A 48, EXL Tower 3, Sector 58, Noida",Sector 58,"Sector 58, Noida",77.358741,28.6048659,Cafe,650,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,5
78,Barista,1,Noida,"Supertech Shopprix Mall, Sector 61, Noida","Supertech Shopprix Mall, Sector 61","Supertech Shopprix Mall, Sector 61, Noida",77.3648332,28.5971027,Cafe,650,Indian Rupees(Rs.),No,No,No,No,2,2.5,Orange,Average,23
79,Barista,1,Noida,"305, 3rd Floor, The Great India Place Mall, Sector 38, Noida","The Great India Place, Sector 38","The Great India Place, Sector 38, Noida",77.3258017,28.5675107,Cafe,650,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,57
80,Basil Tree,1,Noida,"G-43 & 44, Main Market, Near Radisson Hotel, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.32310604,28.56861001,"Italian, North Indian, Chinese",1200,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.4,Orange,Average,431
81,Baskin Robbins,1,Noida,"Ground Floor, Gardens Galleria, Sector 38, Noida","Gardens Galleria, Sector 38 Noida","Gardens Galleria, Sector 38 Noida, Noida",77.32147492,28.5649219,Ice Cream,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
82,Baskin Robbins,1,Noida,"Shop GF-26, Omaxe NRI City Center, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.5111958,28.4632685,Ice Cream,300,Indian Rupees(Rs.),No,Yes,No,No,1,0,White,Not rated,3
83,Baskin Robbins,1,Noida,"Food Court, 3rd Floor, Logix City Centre, Sector 32, Near Sector 34, Noida","Logix City Centre, Sector 32, Noida","Logix City Centre, Sector 32, Noida, Noida",77.3536634,28.5743086,Ice Cream,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
84,Baskin Robbins,1,Noida,"Attrium Ground Floor, Garden Galleria Mall, Sector 38, Noida",Sector 38,"Sector 38, Noida",77.3216286,28.5648303,Ice Cream,300,Indian Rupees(Rs.),No,Yes,No,No,1,0,White,Not rated,2
85,Baskin Robbins,1,Noida,"Near Theos/ HP Petrol Pump, Main Dadri Road, Sector 41, Noida",Sector 41,"Sector 41, Noida",77.3607699,28.561368,Ice Cream,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.3,Orange,Average,12
86,Baskin Robbins,1,Noida,"Near Amity University, Sector 45, Noida",Sector 45,"Sector 45, Noida",77.3444218,28.5498552,Ice Cream,300,Indian Rupees(Rs.),No,Yes,No,No,1,0,White,Not rated,2
87,Baskin Robbins,1,Noida,"Shop 10, Amrapali Sapphire Arcade, Sector 45, Noida",Sector 45,"Sector 45, Noida",77.3442694,28.5486331,Ice Cream,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
88,Baskin Robbins,1,Noida,"Eldeco Studio, Plot 3, Sector 93-A, Near Sector 93, Noida",Sector 93,"Sector 93, Noida",77.3854509,28.5143927,Ice Cream,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
89,Baskin Robbins,1,Noida,"Spice World Mall, Ground Floor, Sector 25, Noida","Spice World Mall, Sector 25","Spice World Mall, Sector 25, Noida",77.341593,28.5855119,Ice Cream,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
90,Baskin Robbins,1,Noida,"Ground Floor, The Great India Place Mall, Sector 38 A, Noida, Sector 38, Noida","The Great India Place, Sector 38","The Great India Place, Sector 38, Noida",77.3254972,28.5672537,Ice Cream,300,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,41
91,Bats On Delivery,1,Noida,"Sector 7, Noida",Sector 7,"Sector 7, Noida",77.317172,28.597085,"North Indian, Fast Food",700,Indian Rupees(Rs.),No,Yes,No,No,2,2.7,Orange,Average,9
92,Bawarchi,1,Noida,"Sector 134, Near Sector 132, Noida",Sector 132,"Sector 132, Noida",0,0,"North Indian, Mughlai, Fast Food",450,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,5
93,Be Bhukkad,1,Noida,"Aghapur, Sector 41, Noida",Sector 41,"Sector 41, Noida",77.363015,28.563578,"North Indian, Mughlai",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,43
94,Bean Machine & Co.,1,Noida,"Sector 72, Noida",Sector 72,"Sector 72, Noida",77.400003,28.588073,"Italian, Continental, American",500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
95,Bebbe Da Degh,1,Noida,"Shop 2, Sharma Market, Near Indian Overseas Bank, Sector 52, Noida",Sector 52,"Sector 52, Noida",77.3625455,28.5867115,North Indian,800,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,65
96,Behrouz Biryani,1,Noida,"Sector 41, Noida",Sector 41,"Sector 41, Noida",77.361455,28.569307,Biryani,600,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,63
97,Being Truckers,1,Noida,"Opposite Lotus Panache, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.37825595,28.53174637,Fast Food,550,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,99
98,Berco's,1,Noida,"104, Hazipur, Sector 104, Near Sector 110, Noida",Sector 110,"Sector 110, Noida",77.365561,28.538929,"Chinese, Thai",1100,Indian Rupees(Rs.),Yes,No,No,No,3,3.1,Orange,Average,9
99,Berco's,1,Noida,"O-1, Sector 12, Noida",Sector 12,"Sector 12, Noida",77.3388953,28.5939838,"Chinese, Thai",1100,Indian Rupees(Rs.),No,Yes,No,No,3,3.7,Yellow,Good,1182
100,Better Butter Chicken,1,Noida,"E-36, Sector 51, Noida",Sector 51,"Sector 51, Noida",0,0,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
101,Beyond Food,1,Noida,"Sector 71, Noida",Sector 71,"Sector 71, Noida",77.3771267,28.6008237,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
102,Bhojanam4u,1,Noida,"A 109, Sector 47, Noida",Sector 47,"Sector 47, Noida",77.3740358,28.55065,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
103,Big B Pastry Shop,1,Noida,"Shop 35, Amrapali Princely, Shopping Arcade, Sector 76, Near Sector 72, Noida",Sector 72,"Sector 72, Noida",77.3816692,28.5663512,"Bakery, Fast Food",200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
104,Big Biryani,1,Noida,"Opposite HCL, Sector 127, Noida",Sector 127,"Sector 127, Noida",77.3323947,28.5493919,"Biryani, Mughlai",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
105,Big Biryani,1,Noida,"B Block Market, Sector 50, Noida",Sector 50,"Sector 50, Noida",0,0,"Biryani, Mughlai",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
106,Big Bone - The Meat Shop,1,Noida,"Shop 13, C Block Market, Sector 41, Noida",Sector 41,"Sector 41, Noida",77.3618278,28.5692496,"Raw Meats, Fast Food",350,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,16
107,Big Wong XL,1,Noida,"B-404, DLF Mall of India, Sector 18, Noida","DLF Mall of India, Sector 18,  Noida","DLF Mall of India, Sector 18,  Noida, Noida",77.32058812,28.56747782,"Chinese, Thai, Sushi",1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.9,Yellow,Good,199
108,Bikaner's,1,Noida,"Shop 3 & 4, Amrapali Princely Estate , Sector 76, Near Sector 72, Noida",Sector 72,"Sector 72, Noida",77.3823794,28.5645097,"Mithai, North Indian, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4
109,Bikaner's,1,Noida,"Shop 25, 26 & 27, Arcade A, Princely Estate, Secotor 76, Near Sector 72, Noida",Sector 72,"Sector 72, Noida",77.3812288,28.56639,"Mithai, North Indian",400,Indian Rupees(Rs.),No,Yes,No,No,1,2.4,Red,Poor,11
